Config,Learning Rate,Gamma,GAE Lambda,Clip Range,Entropy Coef,Mean Reward
ppo_baseline,0.0003,0.99,0.95,0.2,0.01,684.4479
ppo_high_lr,0.001,0.99,0.95,0.2,0.01,1194.3854
ppo_low_gamma,0.0003,0.95,0.95,0.2,0.01,279.50534
ppo_low_gae,0.0003,0.99,0.9,0.2,0.01,306.41492
ppo_high_clip,0.0003,0.99,0.95,0.3,0.01,352.83115
ppo_low_clip,0.0003,0.99,0.95,0.1,0.01,340.12863
ppo_high_ent,0.0003,0.99,0.95,0.2,0.05,468.87952
ppo_low_ent,0.0003,0.99,0.95,0.2,0.001,257.25235
ppo_balanced,0.0005,0.98,0.92,0.25,0.02,323.3849
ppo_conservative,0.0001,0.99,0.98,0.15,0.005,261.2018
